date,region,department,expense_type,amount
2023-01-01,Asia Pacific,Operations,Salaries,11604.31
2023-01-01,Asia Pacific,Operations,Utilities,697.76
2023-01-01,Asia Pacific,Operations,Travel,453.63
2023-01-01,Asia Pacific,Operations,Software,830.32
2023-01-01,Latin America,Sales,Rent,2410.85
2023-01-01,Latin America,Sales,Utilities,628.19
2023-01-01,Latin America,Sales,Travel,492.36
2023-01-01,Latin America,Sales,Software,855.12
2023-01-01,Latin America,Sales,Professional Services,1130.87
2023-01-01,Latin America,Marketing,Rent,3025.36
2023-01-01,Latin America,Marketing,Travel,612.72
2023-01-01,Latin America,Marketing,Software,1048.42
2023-01-01,Latin America,Marketing,Professional Services,1148.96
2023-01-01,Latin America,R&D,Salaries,10343.06
2023-01-01,Latin America,R&D,Rent,2615.51
2023-01-01,Latin America,R&D,Utilities,765.71
2023-01-01,Latin America,R&D,Travel,604.55
2023-01-01,Latin America,R&D,Software,937.55
2023-01-01,Latin America,R&D,Professional Services,1047.82
2023-01-01,Latin America,Admin,Utilities,796.78
2023-01-01,Latin America,Admin,Travel,488.69
2023-01-01,Latin America,Admin,Software,865.31
2023-01-01,Latin America,Admin,Professional Services,1265.43
2023-01-01,Latin America,Operations,Salaries,9344.94
2023-01-01,Latin America,Operations,Rent,2343.56
2023-01-01,Latin America,Operations,Utilities,737.68
2023-01-01,Latin America,Operations,Travel,478.78
2023-01-01,Latin America,Operations,Software,929.1
2023-01-01,Latin America,Operations,Professional Services,1086.12
2023-01-01,Middle East,Sales,Salaries,12286.16
2023-01-01,Middle East,Sales,Rent,2837.15
2023-01-01,Middle East,Sales,Travel,598.02
2023-01-01,Middle East,Sales,Software,880.81
2023-01-01,Middle East,Sales,Professional Services,1189.22
2023-01-01,Middle East,Marketing,Salaries,9479.77
2023-01-01,Middle East,Marketing,Rent,2258.89
2023-01-01,Middle East,Marketing,Travel,535.9
2023-01-01,Middle East,Marketing,Software,906.08
2023-01-01,Middle East,Marketing,Professional Services,1026.38
2023-01-01,Middle East,R&D,Salaries,11164.22
2023-01-01,Middle East,R&D,Utilities,706.47
2023-01-01,Middle East,R&D,Travel,580.19
2023-01-01,Middle East,R&D,Software,863.16
2023-01-01,Middle East,R&D,Professional Services,1253.56
2023-01-01,Middle East,Admin,Rent,2417.08
2023-01-01,Middle East,Admin,Utilities,527.54
2023-01-01,Middle East,Admin,Travel,392.64
2023-01-01,Middle East,Admin,Software,850.32
2023-01-01,Middle East,Operations,Salaries,9136.49
2023-01-01,Middle East,Operations,Rent,2523.02
2023-01-01,Middle East,Operations,Software,684.41
2023-01-01,Middle East,Operations,Professional Services,925.23
2023-02-01,North America,Sales,Rent,2648.24
2023-02-01,North America,Sales,Utilities,734.15
2023-02-01,North America,Sales,Travel,598.46
2023-02-01,North America,Sales,Software,873.43
2023-02-01,North America,Marketing,Salaries,9496.8
2023-02-01,North America,Marketing,Rent,2454.39
2023-02-01,North America,Marketing,Travel,480.11
2023-02-01,North America,Marketing,Software,920.42
2023-02-01,North America,Marketing,Professional Services,979.31
2023-02-01,North America,R&D,Salaries,9321.09
2023-02-01,North America,R&D,Rent,2389.03
2023-02-01,North America,R&D,Travel,375.62
2023-02-01,North America,R&D,Professional Services,743.91
2023-02-01,North America,Admin,Rent,2045.35
2023-02-01,North America,Admin,Travel,414.57
2023-02-01,North America,Operations,Salaries,10656.85
2023-02-01,North America,Operations,Rent,2311.71
2023-02-01,North America,Operations,Utilities,752.35
2023-02-01,North America,Operations,Travel,566.56
2023-02-01,North America,Operations,Software,943.72
2023-02-01,North America,Operations,Professional Services,1011.64
2023-02-01,Europe,Sales,Salaries,7806.52
2023-02-01,Europe,Sales,Software,712.15
2023-02-01,Europe,Sales,Professional Services,785.49
2023-02-01,Europe,Marketing,Salaries,10250.75
2023-02-01,Europe,Marketing,Rent,3025.52
2023-02-01,Europe,Marketing,Utilities,640.89
2023-02-01,Europe,Marketing,Software,826.74
2023-02-01,Europe,Marketing,Professional Services,1080.2
2023-02-01,Europe,R&D,Salaries,10824.41
2023-02-01,Europe,R&D,Travel,506.96
2023-02-01,Europe,R&D,Software,827.74
2023-02-01,Europe,R&D,Professional Services,1117.9
2023-02-01,Europe,Admin,Salaries,9519.3
2023-02-01,Europe,Admin,Rent,2413.6
2023-02-01,Europe,Admin,Utilities,717.62
2023-02-01,Europe,Operations,Salaries,10415.83
2023-02-01,Europe,Operations,Rent,2862.16
2023-02-01,Europe,Operations,Utilities,870.82
2023-02-01,Europe,Operations,Professional Services,1049.74
2023-02-01,Asia Pacific,Sales,Utilities,708.57
2023-02-01,Asia Pacific,Sales,Software,928.18
2023-02-01,Asia Pacific,Sales,Professional Services,1020.18
2023-02-01,Asia Pacific,Marketing,Salaries,12949.68
2023-02-01,Asia Pacific,Marketing,Utilities,943.33
2023-02-01,Asia Pacific,R&D,Rent,3747.71
2023-02-01,Asia Pacific,R&D,Utilities,935.82
2023-02-01,Asia Pacific,R&D,Travel,601.18
2023-02-01,Asia Pacific,R&D,Software,1099.39
2023-02-01,Asia Pacific,R&D,Professional Services,1424.95
2023-02-01,Asia Pacific,Admin,Rent,3728.63
2023-02-01,Asia Pacific,Admin,Utilities,1135.23
2023-02-01,Asia Pacific,Admin,Travel,723.1
2023-02-01,Asia Pacific,Admin,Software,1104.64
2023-02-01,Asia Pacific,Admin,Professional Services,1354.74
2023-02-01,Asia Pacific,Operations,Salaries,11482.94
2023-02-01,Asia Pacific,Operations,Rent,2719.21
2023-02-01,Asia Pacific,Operations,Utilities,775.33
2023-02-01,Asia Pacific,Operations,Travel,631.76
2023-02-01,Asia Pacific,Operations,Software,884.2
2023-02-01,Asia Pacific,Operations,Professional Services,1141.12
2023-02-01,Latin America,Sales,Salaries,11798.96
2023-02-01,Latin America,Sales,Rent,3003.87
2023-02-01,Latin America,Sales,Software,1004.56
2023-02-01,Latin America,Marketing,Salaries,11144.36
2023-02-01,Latin America,Marketing,Rent,3390.12
2023-02-01,Latin America,Marketing,Utilities,841.88
2023-02-01,Latin America,Marketing,Software,969.28
2023-02-01,Latin America,Marketing,Professional Services,1230.38
2023-02-01,Latin America,R&D,Rent,2394.62
2023-02-01,Latin America,R&D,Travel,519.75
2023-02-01,Latin America,R&D,Software,775.43
2023-02-01,Latin America,Admin,Salaries,14554.56
2023-02-01,Latin America,Admin,Rent,3331.16
2023-02-01,Latin America,Admin,Utilities,782.58
2023-02-01,Latin America,Admin,Travel,652.81
2023-02-01,Latin America,Admin,Software,1241.19
2023-02-01,Latin America,Admin,Professional Services,1446.39
2023-02-01,Latin America,Operations,Salaries,11423.9
2023-02-01,Latin America,Operations,Rent,2258.04
2023-02-01,Latin America,Operations,Utilities,680.26
2023-02-01,Latin America,Operations,Travel,587.2
2023-02-01,Latin America,Operations,Software,835.75
2023-02-01,Latin America,Operations,Professional Services,1000.64
2023-02-01,Middle East,Sales,Salaries,9674.33
2023-02-01,Middle East,Sales,Rent,2876.23
2023-02-01,Middle East,Sales,Travel,511.53
2023-02-01,Middle East,Sales,Software,774.9
2023-02-01,Middle East,Sales,Professional Services,996.08
2023-02-01,Middle East,Marketing,Rent,2439.13
2023-02-01,Middle East,Marketing,Professional Services,851.95
2023-02-01,Middle East,R&D,Salaries,11919.07
2023-02-01,Middle East,R&D,Rent,2384.0
2023-02-01,Middle East,R&D,Utilities,808.23
2023-02-01,Middle East,R&D,Travel,533.79
2023-02-01,Middle East,R&D,Software,782.44
2023-02-01,Middle East,R&D,Professional Services,1252.31
2023-02-01,Middle East,Admin,Rent,2574.73
2023-02-01,Middle East,Admin,Utilities,630.39
2023-02-01,Middle East,Admin,Travel,602.94
2023-02-01,Middle East,Operations,Rent,2949.93
2023-02-01,Middle East,Operations,Utilities,677.85
2023-02-01,Middle East,Operations,Travel,455.81
2023-02-01,Middle East,Operations,Software,824.61
2023-03-01,North America,Sales,Rent,3293.93
2023-03-01,North America,Sales,Utilities,944.87
2023-03-01,North America,Sales,Travel,702.6
2023-03-01,North America,Sales,Professional Services,1257.23
2023-03-01,North America,Marketing,Salaries,12147.73
2023-03-01,North America,Marketing,Rent,2646.76
2023-03-01,North America,Marketing,Utilities,685.24
2023-03-01,North America,Marketing,Travel,514.76
2023-03-01,North America,R&D,Salaries,13133.18
2023-03-01,North America,R&D,Rent,2502.16
2023-03-01,North America,R&D,Software,887.42
2023-03-01,North America,R&D,Professional Services,1315.23
2023-03-01,North America,Admin,Professional Services,1399.73
2023-03-01,North America,Operations,Salaries,9665.83
2023-03-01,North America,Operations,Rent,2747.59
2023-03-01,North America,Operations,Utilities,802.98
2023-03-01,North America,Operations,Travel,465.57
2023-03-01,North America,Operations,Professional Services,1203.46
2023-03-01,Europe,Sales,Salaries,11155.48
2023-03-01,Europe,Sales,Rent,3223.81
2023-03-01,Europe,Sales,Utilities,805.82
2023-03-01,Europe,Sales,Software,925.33
2023-03-01,Europe,Sales,Professional Services,1117.43
2023-03-01,Europe,Marketing,Salaries,9431.55
2023-03-01,Europe,Marketing,Rent,2299.6
2023-03-01,Europe,Marketing,Utilities,622.53
2023-03-01,Europe,Marketing,Travel,457.82
2023-03-01,Europe,Marketing,Professional Services,861.13
2023-03-01,Europe,R&D,Rent,2906.75
2023-03-01,Europe,R&D,Utilities,776.67
2023-03-01,Europe,R&D,Software,1021.49
2023-03-01,Europe,R&D,Professional Services,1148.32
2023-03-01,Europe,Admin,Salaries,12199.1
2023-03-01,Europe,Admin,Rent,3077.47
2023-03-01,Europe,Admin,Utilities,890.63
2023-03-01,Europe,Admin,Travel,573.69
2023-03-01,Europe,Admin,Software,979.82
2023-03-01,Europe,Admin,Professional Services,1159.57
2023-03-01,Europe,Operations,Salaries,8767.1
2023-03-01,Europe,Operations,Utilities,705.95
2023-03-01,Europe,Operations,Travel,459.27
2023-03-01,Europe,Operations,Professional Services,883.59
2023-03-01,Asia Pacific,Sales,Salaries,10037.28
2023-03-01,Asia Pacific,Sales,Rent,2391.38
2023-03-01,Asia Pacific,Sales,Travel,447.25
2023-03-01,Asia Pacific,Sales,Professional Services,848.56
2023-03-01,Asia Pacific,Marketing,Salaries,8872.79
2023-03-01,Asia Pacific,Marketing,Utilities,604.42
2023-03-01,Asia Pacific,Marketing,Travel,457.44
2023-03-01,Asia Pacific,Marketing,Software,763.54
2023-03-01,Asia Pacific,R&D,Rent,2243.98
2023-03-01,Asia Pacific,R&D,Travel,437.91
2023-03-01,Asia Pacific,R&D,Software,687.42
2023-03-01,Asia Pacific,R&D,Professional Services,872.8
2023-03-01,Asia Pacific,Admin,Rent,2627.62
2023-03-01,Asia Pacific,Admin,Utilities,647.26
2023-03-01,Asia Pacific,Admin,Travel,535.14
2023-03-01,Asia Pacific,Admin,Software,866.51
2023-03-01,Asia Pacific,Admin,Professional Services,1012.35
2023-03-01,Asia Pacific,Operations,Utilities,643.55
2023-03-01,Asia Pacific,Operations,Travel,493.37
2023-03-01,Asia Pacific,Operations,Software,887.18
2023-03-01,Latin America,Sales,Salaries,12857.78
2023-03-01,Latin America,Sales,Rent,3126.34
2023-03-01,Latin America,Sales,Utilities,724.37
2023-03-01,Latin America,Sales,Travel,577.64
2023-03-01,Latin America,Sales,Software,889.5
2023-03-01,Latin America,Sales,Professional Services,1051.16
2023-03-01,Latin America,Marketing,Utilities,562.95
2023-03-01,Latin America,Marketing,Travel,458.54
2023-03-01,Latin America,R&D,Salaries,12669.44
2023-03-01,Latin America,R&D,Utilities,822.35
2023-03-01,Latin America,R&D,Software,1070.22
2023-03-01,Latin America,R&D,Professional Services,1103.5
2023-03-01,Latin America,Admin,Salaries,10557.52
2023-03-01,Latin America,Admin,Rent,2348.7
2023-03-01,Latin America,Admin,Utilities,594.1
2023-03-01,Latin America,Admin,Software,933.0
2023-03-01,Latin America,Operations,Salaries,9673.75
2023-03-01,Latin America,Operations,Utilities,633.79
2023-03-01,Latin America,Operations,Travel,401.23
2023-03-01,Latin America,Operations,Professional Services,879.61
2023-03-01,Middle East,Sales,Salaries,17672.74
2023-03-01,Middle East,Sales,Rent,3747.14
2023-03-01,Middle East,Sales,Utilities,950.62
2023-03-01,Middle East,Sales,Travel,830.75
2023-03-01,Middle East,Sales,Professional Services,1404.95
2023-03-01,Middle East,Marketing,Salaries,11960.51
2023-03-01,Middle East,Marketing,Rent,3582.05
2023-03-01,Middle East,Marketing,Utilities,791.39
2023-03-01,Middle East,Marketing,Travel,591.38
2023-03-01,Middle East,Marketing,Professional Services,1239.19
2023-03-01,Middle East,R&D,Salaries,12603.65
2023-03-01,Middle East,R&D,Travel,704.99
2023-03-01,Middle East,R&D,Professional Services,1436.52
2023-03-01,Middle East,Admin,Utilities,1044.72
2023-03-01,Middle East,Admin,Travel,896.9
2023-03-01,Middle East,Admin,Professional Services,1882.94
2023-03-01,Middle East,Operations,Salaries,17740.42
2023-03-01,Middle East,Operations,Rent,4277.42
2023-03-01,Middle East,Operations,Utilities,1142.11
2023-03-01,Middle East,Operations,Travel,705.59
2023-03-01,Middle East,Operations,Professional Services,1596.45
2023-04-01,North America,Sales,Salaries,13562.16
2023-04-01,North America,Sales,Utilities,847.39
2023-04-01,North America,Sales,Travel,546.95
2023-04-01,North America,Sales,Software,1144.5
2023-04-01,North America,Sales,Professional Services,1357.92
2023-04-01,North America,Marketing,Salaries,15657.8
2023-04-01,North America,Marketing,Rent,4307.3
2023-04-01,North America,Marketing,Travel,836.41
2023-04-01,North America,Marketing,Software,1361.03
2023-04-01,North America,Marketing,Professional Services,1719.92
2023-04-01,North America,R&D,Salaries,15704.82
2023-04-01,North America,R&D,Rent,3747.7
2023-04-01,North America,R&D,Utilities,1064.25
2023-04-01,North America,R&D,Professional Services,1480.41
2023-04-01,North America,Admin,Rent,3487.5
2023-04-01,North America,Admin,Travel,712.6
2023-04-01,North America,Admin,Professional Services,1165.86
2023-04-01,North America,Operations,Salaries,16113.13
2023-04-01,North America,Operations,Utilities,1043.47
2023-04-01,Europe,Sales,Salaries,17800.85
2023-04-01,Europe,Sales,Rent,4116.99
2023-04-01,Europe,Sales,Utilities,1152.37
2023-04-01,Europe,Sales,Software,1511.5
2023-04-01,Europe,Sales,Professional Services,1697.79
2023-04-01,Europe,Marketing,Salaries,14688.09
2023-04-01,Europe,Marketing,Rent,3111.1
2023-04-01,Europe,R&D,Salaries,11057.51
2023-04-01,Europe,R&D,Utilities,865.51
2023-04-01,Europe,R&D,Travel,658.77
2023-04-01,Europe,R&D,Software,1100.34
2023-04-01,Europe,R&D,Professional Services,1348.66
2023-04-01,Europe,Admin,Salaries,14833.96
2023-04-01,Europe,Admin,Utilities,926.93
2023-04-01,Europe,Admin,Professional Services,1421.63
2023-04-01,Europe,Operations,Salaries,14357.47
2023-04-01,Europe,Operations,Rent,3872.86
2023-04-01,Europe,Operations,Travel,923.06
2023-04-01,Europe,Operations,Software,1398.29
2023-04-01,Europe,Operations,Professional Services,1670.78
2023-04-01,Asia Pacific,Sales,Salaries,11973.75
2023-04-01,Asia Pacific,Sales,Rent,3537.66
2023-04-01,Asia Pacific,Sales,Utilities,781.84
2023-04-01,Asia Pacific,Sales,Travel,653.94
2023-04-01,Asia Pacific,Marketing,Salaries,11581.51
2023-04-01,Asia Pacific,Marketing,Rent,3186.51
2023-04-01,Asia Pacific,Marketing,Utilities,831.32
2023-04-01,Asia Pacific,Marketing,Travel,651.24
2023-04-01,Asia Pacific,Marketing,Software,1045.2
2023-04-01,Asia Pacific,Marketing,Professional Services,1295.8
2023-04-01,Asia Pacific,R&D,Rent,3505.74
2023-04-01,Asia Pacific,R&D,Utilities,938.22
2023-04-01,Asia Pacific,R&D,Travel,802.8
2023-04-01,Asia Pacific,R&D,Software,1062.57
2023-04-01,Asia Pacific,Admin,Rent,2915.99
2023-04-01,Asia Pacific,Admin,Utilities,618.5
2023-04-01,Asia Pacific,Admin,Travel,483.65
2023-04-01,Asia Pacific,Admin,Software,809.61
2023-04-01,Asia Pacific,Admin,Professional Services,1022.96
2023-04-01,Asia Pacific,Operations,Salaries,14666.44
2023-04-01,Asia Pacific,Operations,Utilities,907.16
2023-04-01,Asia Pacific,Operations,Travel,751.71
2023-04-01,Asia Pacific,Operations,Software,1039.98
2023-04-01,Asia Pacific,Operations,Professional Services,1258.79
2023-04-01,Latin America,Sales,Salaries,12195.91
2023-04-01,Latin America,Sales,Rent,2768.89
2023-04-01,Latin America,Sales,Utilities,800.87
2023-04-01,Latin America,Sales,Software,974.48
2023-04-01,Latin America,Sales,Professional Services,1044.01
2023-04-01,Latin America,Marketing,Salaries,13789.57
2023-04-01,Latin America,Marketing,Rent,2860.16
2023-04-01,Latin America,Marketing,Utilities,831.09
2023-04-01,Latin America,Marketing,Travel,615.62
2023-04-01,Latin America,Marketing,Software,996.16
2023-04-01,Latin America,Marketing,Professional Services,1167.82
2023-04-01,Latin America,R&D,Utilities,629.39
2023-04-01,Latin America,R&D,Software,812.58
2023-04-01,Latin America,Admin,Rent,2223.25
2023-04-01,Latin America,Admin,Software,680.69
2023-04-01,Latin America,Admin,Professional Services,855.07
2023-04-01,Latin America,Operations,Salaries,10547.43
2023-04-01,Latin America,Operations,Utilities,799.79
2023-04-01,Latin America,Operations,Professional Services,1089.08
2023-04-01,Middle East,Sales,Salaries,8916.62
2023-04-01,Middle East,Sales,Rent,2372.2
2023-04-01,Middle East,Sales,Utilities,523.51
2023-04-01,Middle East,Sales,Travel,400.08
2023-04-01,Middle East,Marketing,Salaries,7631.22
2023-04-01,Middle East,Marketing,Rent,2326.31
2023-04-01,Middle East,Marketing,Utilities,644.01
2023-04-01,Middle East,Marketing,Travel,474.32
2023-04-01,Middle East,Marketing,Professional Services,919.66
2023-04-01,Middle East,R&D,Utilities,553.04
2023-04-01,Middle East,R&D,Software,800.24
2023-04-01,Middle East,Admin,Rent,3153.86
2023-04-01,Middle East,Admin,Travel,633.82
2023-04-01,Middle East,Admin,Software,1056.5
2023-04-01,Middle East,Admin,Professional Services,970.34
2023-04-01,Middle East,Operations,Salaries,11178.7
2023-04-01,Middle East,Operations,Rent,2759.91
2023-04-01,Middle East,Operations,Travel,471.45
2023-04-01,Middle East,Operations,Software,994.84
2023-04-01,Middle East,Operations,Professional Services,1083.86
2023-05-01,North America,Sales,Salaries,12150.36
2023-05-01,North America,Sales,Travel,716.33
2023-05-01,North America,Sales,Software,963.92
2023-05-01,North America,Sales,Professional Services,1218.53
2023-05-01,North America,Marketing,Rent,3425.17
2023-05-01,North America,Marketing,Utilities,856.6
2023-05-01,North America,Marketing,Travel,543.64
2023-05-01,North America,Marketing,Professional Services,1156.2
2023-05-01,North America,R&D,Salaries,9493.41
2023-05-01,North America,R&D,Rent,2096.31
2023-05-01,North America,R&D,Utilities,591.66
2023-05-01,North America,R&D,Travel,434.0
2023-05-01,North America,R&D,Software,768.41
2023-05-01,North America,Admin,Salaries,10967.05
2023-05-01,North America,Admin,Utilities,707.97
2023-05-01,North America,Admin,Travel,548.01
2023-05-01,North America,Admin,Software,997.7
2023-05-01,North America,Admin,Professional Services,1147.58
2023-05-01,North America,Operations,Salaries,8326.95
2023-05-01,North America,Operations,Rent,1909.69
2023-05-01,North America,Operations,Software,698.32
2023-05-01,North America,Operations,Professional Services,833.76
2023-05-01,Europe,Sales,Rent,3021.54
2023-05-01,Europe,Sales,Utilities,743.75
2023-05-01,Europe,Sales,Travel,717.93
2023-05-01,Europe,Sales,Professional Services,1367.96
2023-05-01,Europe,Marketing,Salaries,11610.8
2023-05-01,Europe,Marketing,Rent,3194.71
2023-05-01,Europe,Marketing,Travel,566.24
2023-05-01,Europe,Marketing,Professional Services,1280.11
2023-05-01,Europe,R&D,Salaries,10867.69
2023-05-01,Europe,R&D,Rent,2448.74
2023-05-01,Europe,R&D,Utilities,652.03
2023-05-01,Europe,R&D,Professional Services,916.23
2023-05-01,Europe,Admin,Rent,3454.57
2023-05-01,Europe,Admin,Utilities,931.26
2023-05-01,Europe,Admin,Travel,612.79
2023-05-01,Europe,Admin,Software,1004.09
2023-05-01,Europe,Admin,Professional Services,1354.42
2023-05-01,Europe,Operations,Salaries,13350.89
2023-05-01,Europe,Operations,Utilities,669.18
2023-05-01,Europe,Operations,Travel,531.52
2023-05-01,Europe,Operations,Software,880.35
2023-05-01,Europe,Operations,Professional Services,1085.21
2023-05-01,Asia Pacific,Sales,Salaries,10191.68
2023-05-01,Asia Pacific,Sales,Rent,2846.05
2023-05-01,Asia Pacific,Sales,Utilities,627.42
2023-05-01,Asia Pacific,Sales,Travel,490.46
2023-05-01,Asia Pacific,Sales,Professional Services,913.36
2023-05-01,Asia Pacific,Marketing,Salaries,8724.42
2023-05-01,Asia Pacific,Marketing,Rent,2774.31
2023-05-01,Asia Pacific,Marketing,Utilities,695.36
2023-05-01,Asia Pacific,Marketing,Travel,563.09
2023-05-01,Asia Pacific,Marketing,Software,734.91
2023-05-01,Asia Pacific,Marketing,Professional Services,990.91
2023-05-01,Asia Pacific,R&D,Salaries,8154.42
2023-05-01,Asia Pacific,R&D,Rent,2217.91
2023-05-01,Asia Pacific,R&D,Professional Services,820.79
2023-05-01,Asia Pacific,Admin,Rent,2411.58
2023-05-01,Asia Pacific,Admin,Utilities,631.65
2023-05-01,Asia Pacific,Operations,Salaries,13635.77
2023-05-01,Asia Pacific,Operations,Rent,3049.46
2023-05-01,Asia Pacific,Operations,Utilities,871.7
2023-05-01,Asia Pacific,Operations,Travel,666.52
2023-05-01,Asia Pacific,Operations,Software,987.04
2023-05-01,Asia Pacific,Operations,Professional Services,1319.31
2023-05-01,Latin America,Sales,Rent,3363.21
2023-05-01,Latin America,Sales,Travel,535.27
2023-05-01,Latin America,Sales,Software,1130.13
2023-05-01,Latin America,Sales,Professional Services,1377.68
2023-05-01,Latin America,Marketing,Salaries,8683.1
2023-05-01,Latin America,Marketing,Utilities,552.32
2023-05-01,Latin America,Marketing,Travel,435.62
2023-05-01,Latin America,Marketing,Software,691.54
2023-05-01,Latin America,Marketing,Professional Services,871.46
2023-05-01,Latin America,R&D,Salaries,9645.33
2023-05-01,Latin America,R&D,Rent,2474.33
2023-05-01,Latin America,R&D,Travel,504.23
2023-05-01,Latin America,R&D,Software,904.2
2023-05-01,Latin America,R&D,Professional Services,1128.31
2023-05-01,Latin America,Admin,Salaries,13030.61
2023-05-01,Latin America,Admin,Utilities,710.61
2023-05-01,Latin America,Admin,Travel,606.46
2023-05-01,Latin America,Admin,Software,1112.94
2023-05-01,Latin America,Operations,Salaries,9450.68
2023-05-01,Latin America,Operations,Rent,2981.12
2023-05-01,Latin America,Operations,Travel,505.16
2023-05-01,Latin America,Operations,Software,803.85
2023-05-01,Latin America,Operations,Professional Services,1218.21
2023-05-01,Middle East,Sales,Salaries,9642.6
2023-05-01,Middle East,Sales,Rent,2029.33
2023-05-01,Middle East,Sales,Travel,446.47
2023-05-01,Middle East,Sales,Software,750.22
2023-05-01,Middle East,Sales,Professional Services,793.12
2023-05-01,Middle East,Marketing,Salaries,9340.97
2023-05-01,Middle East,Marketing,Rent,1969.39
2023-05-01,Middle East,Marketing,Utilities,535.22
2023-05-01,Middle East,Marketing,Software,635.49
2023-05-01,Middle East,Marketing,Professional Services,716.6
2023-05-01,Middle East,R&D,Salaries,7558.6
2023-05-01,Middle East,R&D,Rent,1743.72
2023-05-01,Middle East,R&D,Utilities,568.95
2023-05-01,Middle East,R&D,Travel,353.8
2023-05-01,Middle East,R&D,Software,635.71
2023-05-01,Middle East,R&D,Professional Services,745.82
2023-05-01,Middle East,Admin,Salaries,7436.31
2023-05-01,Middle East,Admin,Rent,1824.4
2023-05-01,Middle East,Admin,Utilities,555.54
2023-05-01,Middle East,Admin,Travel,382.75
2023-05-01,Middle East,Admin,Software,723.51
2023-05-01,Middle East,Admin,Professional Services,823.82
2023-05-01,Middle East,Operations,Salaries,12975.74
2023-05-01,Middle East,Operations,Rent,2506.36
2023-05-01,Middle East,Operations,Utilities,816.18
2023-05-01,Middle East,Operations,Travel,570.54
2023-05-01,Middle East,Operations,Professional Services,1026.06
2023-06-01,North America,Sales,Salaries,15388.42
2023-06-01,North America,Sales,Rent,3580.16
2023-06-01,North America,Sales,Utilities,1018.44
2023-06-01,North America,Sales,Travel,596.34
2023-06-01,North America,Sales,Software,1056.18
2023-06-01,North America,Sales,Professional Services,1447.01
2023-06-01,North America,Marketing,Rent,3546.9
2023-06-01,North America,Marketing,Software,1202.5
2023-06-01,North America,R&D,Salaries,13454.5
2023-06-01,North America,R&D,Rent,2983.19
2023-06-01,North America,R&D,Utilities,727.61
2023-06-01,North America,R&D,Travel,546.4
2023-06-01,North America,R&D,Professional Services,1436.89
