country,region,shipment_mode,product_group,vendor,scheduled_date,delivered_date,delay_days,status,quantity,line_item_value,weight_kg,freight_cost_usd
Nigeria,Sub-Saharan Africa,Air,ACT,IDA FOUNDATION,2009-02-25,2008-09-09,-169,On Time,34,1547.68,115,1755.87
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2008-10-08,2008-10-08,0,On Time,42000,60900.0,2600,10179.16
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2008-07-10,2008-07-08,-2,On Time,50,696.5,Weight Captured Separately,
Vietnam,Asia,Air,ARV,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),2008-11-27,2008-11-27,0,On Time,16800,171192.0,1224,4686.88
Guyana,Latin America & Caribbean,Air,MRDT,ZEPHYR BIOMEDICALS,2008-08-15,2008-08-15,0,On Time,98,3675.0,34,180.0
Zambia,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-10-20,2008-10-20,0,On Time,4500,323955.0,1053,11062.05
Namibia,Sub-Saharan Africa,Air,HRDT,"Trinity Biotech, Plc",2008-09-18,2008-09-18,0,On Time,10,320.0,Weight Captured Separately,
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,BIO-RAD LABORATORIES (FRANCE),2008-10-02,2008-10-02,0,On Time,500,38000.0,562,11298.13
Côte d'Ivoire,Sub-Saharan Africa,Air,ACT,IDA FOUNDATION,2009-01-23,2009-01-23,0,On Time,25000,9750.0,1708,12830.91
Nigeria,Sub-Saharan Africa,Air,ARV,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),2009-03-10,2009-04-08,29,Delayed,9,453.6,Weight Captured Separately,
Namibia,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-10-29,2008-10-29,0,On Time,150,10798.5,46,2698.04
Botswana,Sub-Saharan Africa,Air,HRDT,"Trinity Biotech, Plc",2008-11-28,2008-11-28,0,On Time,15,450.0,1,578.01
Zambia,Sub-Saharan Africa,Air,HRDT,"Standard Diagnostics, Inc.",2009-01-23,2009-01-23,0,On Time,319,6380.0,100,1122.24
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2009-05-17,2008-10-09,-220,On Time,80,1830.4,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2009-05-17,2009-05-17,0,On Time,120,2745.6,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2009-05-17,2008-10-09,-220,On Time,600,858.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2009-05-17,2008-10-09,-220,On Time,7,91.35,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2009-05-17,2008-10-09,-220,On Time,40,1375.6,Weight Captured Separately,
Guyana,Latin America & Caribbean,Air,MRDT,ZEPHYR BIOMEDICALS,2009-02-06,2009-02-06,0,On Time,108,4050.0,Weight Captured Separately,
Tanzania,Sub-Saharan Africa,Air,ARV,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),2009-04-21,2009-04-21,0,On Time,50000,2520000.0,4093,9339.0
Côte d'Ivoire,Sub-Saharan Africa,Air,ANTM,IDA FOUNDATION,2009-03-02,2009-03-02,0,On Time,140,2731.4,5209,25405.22
Mozambique,Sub-Saharan Africa,Air,HRDT,"Trinity Biotech, Plc",2009-03-23,2009-03-23,0,On Time,5700,182400.0,1906,23914.8
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2009-04-10,2009-04-10,0,On Time,5964,51350.04,3509,12835.2
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2009-04-10,2009-04-10,0,On Time,21000,50400.0,See ASN-3562 (ID#:960),
Vietnam,Asia,Air,ARV,CIPLA LIMITED,2009-03-23,2009-03-23,0,On Time,10560,72864.0,924,4225.93
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2009-03-16,2009-03-16,0,On Time,2352,20250.72,211,892.5
Tanzania,Sub-Saharan Africa,Air,ARV,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2009-05-28,2009-05-28,0,On Time,524,21536.4,644,6668.61
Tanzania,Sub-Saharan Africa,Air,ARV,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2009-05-04,2009-05-04,0,On Time,2094,21526.32,237,
Rwanda,Sub-Saharan Africa,Air,HRDT,Premier Medical Corporation Ltd.,2009-04-28,2009-04-28,0,On Time,8249,185602.5,2800,12595.81
Nigeria,Sub-Saharan Africa,Air,ARV,BRISTOL-MYERS SQUIBB,2009-09-30,2009-09-30,0,On Time,200,4734.0,11,463.0
Haiti,Latin America & Caribbean,Air,ARV,BRISTOL-MYERS SQUIBB,2009-03-31,2009-03-31,0,On Time,80,760.0,43,260.0
Haiti,Latin America & Caribbean,Air,ARV,BRISTOL-MYERS SQUIBB,2009-03-31,2009-03-31,0,On Time,32,402.88,See ASN-3675 (ID#:1046),
Haiti,Latin America & Caribbean,Air,ARV,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2009-04-15,2009-04-15,0,On Time,46,472.88,10,893.22
South Africa,Sub-Saharan Africa,Air,ARV,S. BUYS WHOLESALER,2009-03-31,2008-12-02,-119,On Time,3025,47522.75,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Air,ARV,S. BUYS WHOLESALER,2009-04-07,2008-12-03,-125,On Time,3500,49840.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Air,ARV,S. BUYS WHOLESALER,2009-04-07,2008-12-03,-125,On Time,1008,3588.48,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Air,ARV,S. BUYS WHOLESALER,2009-05-05,2008-12-23,-133,On Time,960,1152.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Air,ARV,S. BUYS WHOLESALER,2009-05-12,2008-12-30,-133,On Time,1800,10512.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Air,ARV,S. BUYS WHOLESALER,2009-03-31,2008-11-21,-130,On Time,1200,3384.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Air,ARV,S. BUYS WHOLESALER,2009-06-25,2009-04-21,-65,On Time,346,1954.9,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2009-06-25,2009-06-05,-20,On Time,5300,16642.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Air,ARV,S. BUYS WHOLESALER,2009-06-25,2009-06-17,-8,On Time,342,1932.3,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2009-08-19,2009-08-19,0,On Time,2700,10665.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Air,ARV,S. BUYS WHOLESALER,2009-06-25,2009-04-14,-72,On Time,3735,134385.3,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Air,ARV,S. BUYS WHOLESALER,2009-06-25,2009-04-29,-57,On Time,6000,80640.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Air,ARV,S. BUYS WHOLESALER,2009-06-25,2009-04-20,-66,On Time,11672,35016.0,Weight Captured Separately,
Botswana,Sub-Saharan Africa,Air,HRDT,Orasure Technologies Inc.,2009-11-13,2009-11-13,0,On Time,20,7000.0,48,1172.11
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2009-06-30,2009-06-30,0,On Time,10240,420864.0,2523,14806.48
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2009-07-22,2009-07-22,0,On Time,400,15344.0,175,7642.97
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2009-07-31,2009-04-21,-101,On Time,30,1080.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2009-05-15,2009-04-17,-28,On Time,80,2816.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2009-05-15,2009-04-23,-22,On Time,1000,19770.0,Weight Captured Separately,3134.85
Haiti,Latin America & Caribbean,Air,HRDT,Orasure Technologies Inc.,2009-09-16,2009-09-16,0,On Time,60,21000.0,144,3128.19
Kenya,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2009-07-10,2009-07-10,0,On Time,7500,600000.0,2215,16835.31
Nigeria,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2009-08-18,2009-08-18,0,On Time,6395,511600.0,1915,24514.33
Rwanda,Sub-Saharan Africa,Air,ARV,HETERO LABS LIMITED,2009-07-25,2009-07-25,0,On Time,55356,386384.88,4482,37404.74
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,BIO-RAD LABORATORIES (FRANCE),2009-09-15,2009-09-15,0,On Time,1000,110000.0,1101,8074.03
Vietnam,Asia,Air,ARV,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2009-07-17,2009-07-17,0,On Time,8,613.76,48,3366.04
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2009-07-10,2009-07-10,0,On Time,3500,39025.0,1804,6341.88
Botswana,Sub-Saharan Africa,Air,HRDT,Orasure Technologies Inc.,2009-06-12,2009-07-10,28,Delayed,5,1750.0,12,684.42
Namibia,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2009-09-01,2009-09-01,0,On Time,67,5025.0,48,401.97
Vietnam,Asia,Air,ARV,BRISTOL-MYERS SQUIBB,2009-07-28,2009-07-28,0,On Time,400,2800.0,148,14.36
Namibia,Sub-Saharan Africa,Air,HRDT,"Trinity Biotech, Plc",2009-06-29,2009-06-29,0,On Time,220,7040.0,79,1736.18
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2009-07-28,2009-07-28,0,On Time,50,490.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2009-10-12,2009-08-05,-68,On Time,5000,41300.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2009-10-12,2009-07-28,-76,On Time,460,2838.2,Weight Captured Separately,
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,BIO-RAD LABORATORIES (FRANCE),2006-06-27,2006-06-27,0,On Time,147,11076.45,165,1816.57
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,Orasure Technologies Inc.,2006-07-14,2006-07-14,0,On Time,6,2400.0,15,1039.5
Vietnam,Asia,Air,ARV,BRISTOL-MYERS SQUIBB,2006-11-16,2006-11-16,0,On Time,2800,19600.0,555,3292.15
Haiti,Latin America & Caribbean,Air,HRDT,Orasure Technologies Inc.,2006-11-09,2006-11-09,0,On Time,15,6000.0,36,1195.29
Zimbabwe,Sub-Saharan Africa,Air,ARV,INTERNATIONAL HEALTHCARE DISTRIBUTORS,2006-11-07,2006-11-07,0,On Time,260,11096.8,135,
Nigeria,Sub-Saharan Africa,Air,ARV,Aurobindo Pharma Limited,2006-12-07,2006-12-07,0,On Time,894,2994.9,479,4861.14
Vietnam,Asia,Air,ARV,CIPLA LIMITED,2007-03-14,2007-03-14,0,On Time,25100,276100.0,2575,18772.94
Vietnam,Asia,Air,ARV,STRIDES ARCOLAB LIMITED,2007-03-14,2007-03-14,0,On Time,95500,144205.0,9170,42453.21
Guyana,Latin America & Caribbean,Air,HRDT,"Trinity Biotech, Plc",2006-12-29,2006-12-29,0,On Time,900,36000.0,316,4989.87
Mozambique,Sub-Saharan Africa,Air,ARV,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2007-02-15,2007-02-15,0,On Time,80,3288.0,25,
Vietnam,Asia,Air,ARV,CIPLA LIMITED,2007-05-12,2007-05-12,0,On Time,70000,525000.0,6813,31858.09
Rwanda,Sub-Saharan Africa,Air,ARV,CIPLA LIMITED,2007-02-27,2007-02-27,0,On Time,71577,1087970.4,See ASN-242 (ID#:64),
Rwanda,Sub-Saharan Africa,Air,ARV,CIPLA LIMITED,2007-02-27,2007-02-27,0,On Time,5605,202340.5,See ASN-242 (ID#:64),
Ethiopia,Sub-Saharan Africa,Air,HRDT,Abbott GmbH & Co. KG,2006-12-28,2006-12-28,0,On Time,200,16000.0,Weight Captured Separately,
Vietnam,Asia,Air,ARV,CIPLA LIMITED,2007-08-24,2007-08-24,0,On Time,25000,187500.0,2348,21439.59
Nigeria,Sub-Saharan Africa,Air,HRDT,BIO-RAD LABORATORIES (FRANCE),2007-03-15,2007-03-30,15,Delayed,375,28500.0,402,4445.75
Ethiopia,Sub-Saharan Africa,Air,HRDT,Abbott GmbH & Co. KG,2007-01-15,2007-01-15,0,On Time,4650,372000.0,1707,24859.45
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,BRISTOL-MYERS SQUIBB,2007-10-23,2007-10-23,0,On Time,1577,14981.5,306,
Nigeria,Sub-Saharan Africa,Air,HRDT,Abbott GmbH & Co. KG,2007-09-07,2007-09-07,0,On Time,3500,280000.0,1194,5858.57
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,BRISTOL-MYERS SQUIBB,2007-10-02,2007-10-02,0,On Time,4270,40565.0,Weight Captured Separately,
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2007-10-02,2007-10-02,0,On Time,1000,1920.0,960,13762.41
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2007-10-02,2007-10-02,0,On Time,1000,2100.0,See ASN-744 (ID#:1356),
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2007-10-15,2007-10-15,0,On Time,1000,2100.0,See ASN-781 (ID#:115),
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2007-10-15,2007-10-15,0,On Time,3000,40500.0,332,4454.62
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2007-11-23,2007-11-23,0,On Time,22500,277425.0,1955,16095.39
Vietnam,Asia,Air,ARV,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2007-08-27,2007-08-27,0,On Time,500,41095.0,117,1767.38
Tanzania,Sub-Saharan Africa,Air,HRDT,"Standard Diagnostics, Inc.",2007-09-19,2007-09-19,0,On Time,10000,200000.0,3336,25165.3
Rwanda,Sub-Saharan Africa,Air,ARV,ASPEN PHARMACARE,2008-01-28,2008-01-28,0,On Time,1609,27353.0,157,7922.24
Vietnam,Asia,Air,ARV,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2008-03-28,2008-03-28,0,On Time,100,18333.0,337,2535.4
Nigeria,Sub-Saharan Africa,Air,HRDT,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",2008-01-21,2008-01-21,0,On Time,10000,270000.0,3336,28002.75
Rwanda,Sub-Saharan Africa,Air,ARV,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),2008-01-28,2008-01-28,0,On Time,1099,30222.5,113,1511.25
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2008-02-01,2008-02-01,0,On Time,1200,2100.0,125,2429.85
Kazakhstan,Asia,Air,HRDT,Orasure Technologies Inc.,2007-12-27,2007-12-27,0,On Time,50,17500.0,Weight Captured Separately,
Nigeria,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-02-05,2008-02-05,0,On Time,650,51993.5,148,2577.27
Botswana,Sub-Saharan Africa,Air,HRDT,"Trinity Biotech, Plc",2008-07-03,2008-07-03,0,On Time,450,14400.0,154,2496.62
Nigeria,Sub-Saharan Africa,Air,HRDT,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",2008-09-19,2008-07-16,-65,On Time,10270,277290.0,2907,18864.37
Mozambique,Sub-Saharan Africa,Air,HRDT,"Trinity Biotech, Plc",2008-03-27,2008-03-27,0,On Time,9000,288000.0,9000,55746.59
Zambia,Sub-Saharan Africa,Air,HRDT,"Trinity Biotech, Plc",2008-05-14,2008-05-14,0,On Time,6040,193280.0,2052,24689.0
Zambia,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-06-06,2008-05-30,-7,On Time,4300,43.0,284,
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",2009-03-04,2009-03-04,0,On Time,289,7803.0,79,1104.69
Mozambique,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-07-09,2008-07-04,-5,On Time,3000,215970.0,682,5298.9
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-04-08,2008-04-04,-4,On Time,70,0.7,Weight Captured Separately,
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-07-22,2008-07-22,0,On Time,1116,78120.0,255,5175.72
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-12-19,2008-12-19,0,On Time,1116,78120.0,256,7118.12
Guyana,Latin America & Caribbean,Air,HRDT,"Trinity Biotech, Plc",2008-05-06,2008-05-06,0,On Time,832,26624.0,832,3740.04
Guyana,Latin America & Caribbean,Air,HRDT,"Orgenics, Ltd",2008-07-28,2008-07-28,0,On Time,213,15333.87,49,959.46
Botswana,Sub-Saharan Africa,Air,HRDT,Orasure Technologies Inc.,2008-04-11,2008-04-11,0,On Time,10,3500.0,39,604.0
Zimbabwe,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-11-17,2008-10-21,-27,On Time,1634,16.34,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2008-04-24,2008-04-24,0,On Time,400,15760.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2008-04-24,2008-04-24,0,On Time,6,47.28,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2008-04-24,2008-04-24,0,On Time,500,10925.0,Weight Captured Separately,
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2008-07-07,2008-06-20,-17,On Time,10080,29232.0,507,4159.45
Vietnam,Asia,Air,ARV,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),2008-06-01,2008-06-01,0,On Time,6720,77145.6,522,3796.05
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-05-09,2008-05-09,0,On Time,250,2.5,17,
